transaction_id,order_id,bank_id,card_number,total_price,transaction_datetime
47,47,7,9637418520,38.97,"2022-11-17 12:18:00"
48,48,8,3698741205,112.46,"2022-11-18 16:42:00"
49,49,9,8520369741,84.05,"2022-11-19 10:30:00"
50,50,10,7410369258,69.42,"2022-11-20 19:55:00"
51,51,1,2580369741,16.14,"2022-11-11 08:48:00"
52,52,2,3698741205,58.49,"2022-11-12 13:14:00"
53,53,3,8520369741,36.60,"2022-11-13 17:27:00"
54,54,4,7410369258,12.98,"2022-11-14 10:58:00"
55,55,5,9637418520,42.30,"2022-11-15 21:31:00"
56,56,6,3698741205,52.24,"2022-11-16 16:22:00"
57,57,7,8520369741,25.37,"2022-11-17 11:10:00"
58,58,8,7410369258,47.77,"2022-11-18 15:35:00"
59,59,9,2580369741,18.71,"2022-11-19 09:19:00"
60,60,10,3698741205,86.41,"2022-11-20 18:41:00"
61,61,1,7410369258,30.05,"2022-11-11 09:32:00"
62,62,2,9637418520,20.37,"2022-11-12 14:47:00"
63,63,3,3698741205,38.51,"2022-11-13 18:22:00"
64,64,4,8520369741,104.79,"2022-11-14 11:11:00"
65,65,5,7410369258,31.91,"2022-11-15 20:07:00"
66,66,6,2580369741,48.09,"2022-11-16 17:34:00"
67,67,7,3698741205,16.90,"2022-11-17 12:20:00"
68,68,8,8520369741,105.22,"2022-11-18 16:45:00"
69,69,9,7410369258,18.77,"2022-11-19 10:28:00"
70,70,10,9637418520,44.60,"2022-11-20 19:55:00"
71,71,1,3698741205,20.88,"2022-11-21 09:34:00"
72,72,2,8520369741,48.26,"2022-11-22 14:47:00"
73,73,3,7410369258,32.63,"2022-11-23 18:25:00"
74,74,4,2580369741,17.60,"2022-11-24 11:14:00"
75,75,5,3698741205,37.72,"2022-11-25 20:08:00"
76,76,6,8520369741,69.71,"2022-11-26 17:34:00"
77,77,7,7410369258,27.46,"2022-11-27 12:18:00"
78,78,8,9637418520,42.31,"2022-11-28 16:41:00"
79,79,9,3698741205,19.07,"2022-11-29 10:28:00"
80,80,10,8520369741,101.53,"2022-11-30 19:52:00"
81,81,1,7410369258,33.04,"2022-11-21 08:49:00"
82,82,2,2580369741,18.02,"2022-11-22 13:13:00"
83,83,3,3698741205,46.91,"2022-11-23 17:29:00"
84,84,4,8520369741,113.62,"2022-11-24 10:57:00"
85,85,5,7410369258,29.07,"2022-11-25 21:31:00"
86,86,6,9637418520,56.71,"2022-11-26 16:24:00"
87,87,7,3698741205,17.29,"2022-11-27 11:10:00"
88,88,8,8520369741,57.04,"2022-11-28 15:32:00"
89,89,9,7410369258,25.81,"2022-11-29 09:19:00"
90,90,10,2580369741,55.02,"2022-11-30 18:43:00"
91,91,1,3698741205,17.43,"2022-11-21 09:33:00"
92,92,2,8520369741,60.81,"2022-11-22 14:50:00"
93,93,3,7410369258,32.20,"2022-11-23 18:25:00"
94,94,4,9637418520,15.53,"2022-11-24 11:14:00"
95,95,5,3698741205,42.25,"2022-11-25 20:07:00"
96,96,6,8520369741,84.47,"2022-11-26 17:32:00"
97,97,7,7410369258,32.16,"2022-11-27 12:17:00"
98,98,8,2580369741,54.69,"2022-11-28 16:44:00"
99,99,9,3698741205,12.18,"2022-11-29 10:29:00"
100,100,10,8520369741,56.99,"2022-11-30 19:53:00"
